Country Name,Country Code,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,Individuals using the Internet (% of population),15.4428229480349,17.1,18.8,20.8,23,25.4,28,30.9,52,58,62,69,74,78.9,83.78,88.661226932496,93.542453865048,97.17,
Afghanistan,AFG,Individuals using the Internet (% of population),,0.00472256824217368,0.00456139517022146,0.0878912528559713,0.105809030021958,1.22414808372471,2.10712364546412,1.9,1.84,3.55,4,5,5.45454545454545,5.9,7,8.26,11.2,13.5,
Angola,AGO,Individuals using the Internet (% of population),0.105045562462262,0.136013867429868,0.270376745595134,0.370682065225727,0.464814617985909,1.1433668265595,1.5,1.7,1.9,2.3,2.8,3.1,6.5,8.9,21.4,12.4,13,14.3390793643794,
Albania,ALB,Individuals using the Internet (% of population),0.114097346552109,0.325798377067964,0.39008127343332,0.971900415195857,2.42038779776014,6.04389086404814,9.60999131577118,15.0361154084109,23.86,41.2,45,49,54.6559590399494,57.2,60.1,63.252932696931,66.363444701023,71.8470405043844,
Andorra,AND,Individuals using the Internet (% of population),10.53883560922,,11.2604687170103,13.546412876439,26.8379543894637,37.6057662174867,48.9368469989479,70.87,70.04,78.53,81,81,86.4344246167258,94,95.9,96.91,97.9306371220021,91.5674670273926,
Arab World,ARB,Individuals using the Internet (% of population),1.16588724307037,1.59036859138061,2.72740391951727,3.68668240421096,7.08195800918636,8.46430059446803,11.6967073042137,14.2275432516648,18.5970961481102,21.5686671530258,24.9477618371479,26.7538745885876,30.3700753137253,33.1127975750516,36.6238490715052,43.6963348677854,41.4874767052267,49.2601279696894,63.1667289489987
United Arab Emirates,ARE,Individuals using the Internet (% of population),23.6253008751553,26.2717542010006,28.3164853110439,29.4779534120864,30.1312961695367,40,52,61,63,64,68,78,84.9999915049492,88,90.4,90.5,90.60000732,94.81992254,98.4500017817194
Argentina,ARG,Individuals using the Internet (% of population),7.0386830862178,9.78080728532407,10.8821243775325,11.9136965509954,16.0366841054923,17.7205833696065,20.9272021035896,25.9466329403819,28.1126234799907,34,45,51,55.8,59.9,64.7,68.0430641088122,70.96898082,74.29490687,
Armenia,ARM,Individuals using the Internet (% of population),1.30047002237784,1.63109466677715,1.9604050458212,4.57521722477781,4.8990085713054,5.25298335195804,5.63178777731609,6.02125339712607,6.21,15.3,25,32,37.5,41.9,54.6228058583362,59.1023777148789,64.34602977,64.7448843250726,
American Samoa,ASM,Individuals using the Internet (% of population),,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Individuals using the Internet (% of population),6.48222573702907,8.89928551450583,12.5,17.2286487816884,24.2665437161785,27,30,34,38,42,47,52,58,63.4,67.78,70,73,76,
Australia,AUS,Individuals using the Internet (% of population),46.7561156116738,52.6892664310395,,,,63,66,69.45,71.67,74.25,76,79.4876977139029,79,83.453497167,84,84.560519347399,86.54,86.54504885,
Austria,AUT,Individuals using the Internet (% of population),33.7301329516915,39.1854501811114,36.56,42.7,54.28,58,63.6,69.37,72.87,73.45,75.17,78.7399930986888,80.0299939169903,80.6188,80.9958249574764,83.9401419315026,84.32374257,87.93558659,87.4791372262556
Azerbaijan,AZE,Individuals using the Internet (% of population),0.147757575623251,0.305564637615618,4.99971367812957,,,8.03037535616454,11.9921773343674,14.54,17.08,27.4,46,50,54.2,73.000001372,75.0000156363396,77,78.2,79,79.7999954887896
Burundi,BDI,Individuals using the Internet (% of population),0.077248447383456,0.106001245363203,0.118228412267794,0.201273196735924,0.349060461879596,0.542142865759056,0.657592590351907,0.7,0.81,0.9,1,1.11,1.21999994477793,1.2642181112,1.38,4.86622446359511,5.17362677652886,2.6607485347534,
Belgium,BEL,Individuals using the Internet (% of population),29.4316916924341,31.2883955056566,46.33,49.97,53.86,55.82,59.72,64.44,66,70,75,81.6099959955952,80.7199905482042,82.1702,85,85.0529,86.51647666,87.67968082,88.6550642753316
Benin,BEN,Individuals using the Internet (% of population),0.225247851473369,0.363417890016082,0.7029455951039,0.951327114915695,1.18254096518994,1.27103143947107,1.53785434624704,1.79,1.85,2.24,3.13,4.14832306562512,4.5,4.9,6,11.2549879092022,11.994047908223,20,
Burkina Faso,BFA,Individuals using the Internet (% of population),0.0770801689426014,0.157732464653607,0.200992597925001,0.373440303233526,0.400295285492178,0.469914488656657,0.632707564461829,0.75,0.92,1.13,2.4,3,3.72503491597675,9.1,9.4,14,13.96,16,
Bangladesh,BGD,Individuals using the Internet (% of population),0.0710394230507683,0.129807973947512,0.13992028850905,0.163877665498048,0.199036333744363,0.24163732563671,1,1.8,2.5,3.1,3.7,4.5,5,6.63,13.9,14.4,18.02,15,
